a'dād	numbers; pl of adad
šalvār	pants; trousers; breeches
šalvār-e kār	work pants; work trousers
šalvārak	shorts
šalvārjin	jeans
šalvārjin-e ābi	blue jean
šam'	candle; spark plug; prop
šam'-e otomobil	spark plug
šam'ak	pilot
šam'dān	candlestick
šam'dāni	geranium
šam'i	wax
šam(m)	feel; sense
šamad	shmd
šamal	kneading
šambalile	fenugreek
šamsi	helical; heliacal
šamāyel	icon; image
šamšir	sword; saber; blade; scimitar; knife; spit
šamšir-e nāzok	tuck
šamširbāz	swordsman; fencer; backsword man
šamširbāzi	swordsmanship; fence
šanbe	Saturday; sabbath
šangul	tipsy; cheerful
šangul	cosh; sappy; frisky
šaqiqe	temple
šaqq	alternative; possibility; gap; stiff; taut; tough; inelastic; stout; wooden
šaqqoraq nešastan	sit bolt upright
šaqqoraq(q)	bolt upright
šaqāqol	parsnip
šaqāyeq	copse; poppy
šar	evil
šar'	sharia
šar'an	religiously
šar'i	legal; canonical; judicial; juridical; judiciary
šar(r)	poetry
šaraf	honor; honour; dignity
šarafyāb	granted
šarafyābi	an audience
šarang	poison
šarayān	artery
šarbat	syrup; juice; nectar
šarbat-e nārenj	orangeade; squash
šarbat-e sorfe	cough syrup
šarbat-e āblimu	lemonade
šarh	description; explanation; account; relational
šarh dādan	describe; explain; depict; demonstrate; illustrate; narrate; relate; give
šarhehāl	biography; memoir; short biography
šariat	sharia
šarif	honorable; noble; patrician
šarik	partner; associate; participant; accessorial
šarik (šorakā)	partner
šarik budan	being a partner; participate
šarik kardan	associate
šarik šodan	partake; participate; pool
šarik-e jorm	accomplice
šariki	pally
šarir	wicked; evil; vicious; bad; villainous; nefarious
šarji	sultry
šarm	shame; pudency
šarmande	ashamed
šarmandegi	shame
šarmsār	ashamed
šarmsāri	shame
šarmāvar	shameful; petulant; gross; embarrassing
šarmgin	hangdog
šarmginane	shamefully
šarmgini	shame
šarq	east; orient
šarqi	eastern; oriental; eastward
šarqšenās	east scholar
šarqšenāsi	orientalism; east studies
šart	condition; bet; if; clause; provision; stake; reservation
šart (šarāyet)	bet; condition
šart bastan	bet; gage; gau
šart bastan (band)	bet
šartband	bets; stakeholder
šartbandi	betting; martingale; bet
šartbandi kardan	gamble; stake; bet
šarti	conditional; eventual; provisional
šarur	evil; wicked
šarurāne	vicious
šaryān	artery
šaryāni	arterial
šarze	fierce
šarāb	wine; alcoholic beverage; bacchus
šarāb-e gāzdār	champagne; sparkling wine
šarāb-e qermez	red wine
šarābi	vinous; winy; vinaceous
šarābxār	drunkard
šarābxāri	drinking; binge; spree
šarārat	wickedness; mischief; iniquity
šarāre	flares
šarāyet	conditions; qualification; term; pl of šart
šarāyet-e lāzem	necessary conditions; qualification
šast	sixty; thumb
šast-e pā	big toe
šate	aphid; phylloxera; louse
šatranj	chess
šatranj bāzi kardan	play chess
šatranjbāz	chess player
šatranji	chess; checkered; plaid; checked
šavāhed	evidence; evidences
šaxis	personal
šaxs	person; one; dude; individual; man; specimen
šaxs (ašxās)	person
šaxs-e porenerži	dynamic
šaxs-e zende	survivor
šaxsan	personally; self
šaxse	personally
šaxsi	personal; private; own; someone; somebody; one; persona; civil
šaxsisāz	personalization
šaxsisāzi	customization; personalization
šaxsiyat	character; personality; personage; identity; self; being; figure
šaxsiyati	personality
šayyād	trickster; fraud; shammer
šayātin	pl of šeytān
še'r	poetry; poem; verse
še'r (aš'ār)	poetry
še'r goftan	write poems
še'rxāni	poem reading
šebhejazire	peninsula
šebhenezāmi	militia
šebheqārre	subcontinent
šebhevāqei	virtual
šebāhat	likeness; resemblance; analogy; similarity
šebāhat dāštan	resemble
šebāhāt	similarities
šeddat	intensity; severity; force; gravity; violence; vehemence
šeddat dāštan	rage
šeddat-e amal	force; arrogance
šegeft dāštan	be amazed; marvel; wonder
šegeftangiz	wonderful; amazing
šegeftzade	surprise
šekam	belly; abdomen; tummy; womb; gut; bowel
šekamband	straitlaced; truss
šekambe	rumen; tripe
šekamdard	abdominal pain
šekamgonde	paunchy
šekamgondegi	gut
šekamparast	epicure; voracious
šekamu	gutty; greedy
šekamxāli	sober
šekan	breaker; fold; plica; crease
šekanande	fragile; brittle; frangible; violator
šekanandegi	friability; frangibility
šekanbe	gut
šekanj	contortion; labyrinth
šekanj-e dādan	torture
šekanje	torture; persecution; torment;  persecution;  torment;  affliction;  excruciation;  rack
šekanje kardan	torture
šekanjegar	torturer
šekanjegāh	place of torture
šekar	sugar
šekar zadan	sugar
šekardān	sugar bowl
šekarpanir	sugar cheese
šekast	break; defeat; failure; fracture; setback; losing; reverse
šekast dādan	defeat; outdo; smite; crush; skunk; smash; beat
šekast xordan	fail; flop; lose; flunk; slip up; lose out; suffer a defeat
šekast-e qeyremontazere	upset
šekastan	break; fracture; shatter; disruption; infraction; violate; cleave; refract; chop
šekastan (šekan)	break
šekastani	breakable; fragile
šekaste	broken; fragmentary; zigzag
šekasteband	bonesetter
šekastedel	broken heart
šekastegi	fracture
šekastegi-ye pā	broken leg
šekastenafsi	modesty; litotes
šekastegi	fracture; break; fraction; decrepitude; nick
šekastnāpazir	invincible; unbeatable; unconquerable
šekastnāpaziri	invincibility
šekastxorde	defeated; craven; stickit
šekl	shape; form; figure; formation; image; configuration; rank; look
šekl dādan	shape; crystallize; model; tool
šekl gereftan	form
šekl-e ejmāli	outline
šeklak	grimace
šeklak darāvardan	make a face; pull faces; snoot
šekldehande	shape
šekldehi	forming; shaping; tooling
šeklpaziri	plasticity
šeklyāfte	assemblies made of
šeklgerefte	formed
šeklgiri	formation
šekoftan	burst; flourish; open; dehisce; smile
šekoftegi	efflorescence; dehiscence
šekve	complaint
šekāf	gap; split; slot; fracture; notch; crevice; break; cut; slit; hole; crack
šekāfande	cleaver; ripping; scarifier
šekāfdār	fractured; cloven; cleft
šekāfpazir	fissile
šekāft	fission
šekāftan	cleave; split; fission;  fission;  cleave;  rip;  excise;  pierce; rip; excise; pierce
šekāfte	cloven; forked; reft
šekāftegi	cleavage
šekār	hunt; prey; predation; catch; chase; game;  hunt;  predation;  catch;  chase;  game; hunting
šekār kardan	hunt; chase
šekārbān	gamekeeper
šekārbāni	wildlife
šekārci	hunter; huntsman; woodman; predaceous; predacious
šekārgāh	hunting area
šekārgāh-e mahsur	park
šekāri	hound; feral; predaceous
šekārgāh	hunting ground; preserve
šekāyat	complaint; grievance; protest; denunciation; discontent; groan
šekāyat kardan	complain; bitch; repine
šekāyatkonande	filing party
šekāyatnāme	complaint form
šekāyāt	complaints
šelang zadan	stride
šelang	hose
šelaxte	slut; sloppy; grubby; slovenly
šelaxte-vo cāq	sow
šelaxtevār	sloppy
šelaxtegi	diffusion
šelley	flaccidity; laxity; limping
šellik	fire; volley; burst; shoot
šellik kardan	salvo; fire; run up; volley; shoot
šellik-e xande	laughter
šemordan	count; enumerate; account; number; figure; tally; include
šemordan (šemor)	count
šemorde	measured; clearly
šemorde soxan goftan	articulate
šemš	bullion; ingot; bar
šemš-e talā	gold bullion
šemšād	shamshad
šen	sand; gravel; grit
šenavande	listener; auditor
šenavāyi	hearing; ear; audition; obedience
šenbāzi	sand play
šenderqāz	peanuts
šenel	cape
šeni	sandy
šenidan	listen; hear
šenidan (šenav, šenow)	hear
šenidan (šenow, šenav)	listen
šenidani	audible; audio; worth telling
šenide	heard
šenidāri	audio
šenoftan (šenav, šenow)	listen
šenzār	sabulous
šenā	swim; swimming
šenā kardan	swim
šenā-ye parvāne	dolphin swimming
šenā-ye pošt	backstroke
šenāgar	swimmer
šenāsande	recognizer
šenāse	id
šenāsnāme	birth certificate; profile
šenāsā	identified
šenāsāndan	recognition; declare
šenāsāyi	id; identification; identity; recognition; reconnaissance; exploration; cognizance
šenāsāyišode	detected; declared
šenāv	swimming
šenāvar	hover; float; floating
šenāvar budan	float
šenāvar sāxtan	float; buoy
šenāvar šodan	levitate; float; swim
šenāvar-o āvizān budan	hover
šenāvari	flotation; floating; buoyancy; levitation; floatation; swim
šenāxt	recognition; cognition; knowledge
šenāxtan	know; recognize; identify; knew; notice
šenāxtan (šenās)	know; recognize
šenāxte	known; cognition
šenāxtešode	known; recognized
šenāxti	cognitive
šenāxtšenāsi	epistemology
šenāgar	swimmer
šepeš	louse; cootie; lice
šeqāvat	adversity
šerekattaāvoni	cooperative
šerkat	company; firm; corporation; association; body corporate; cahoot; participation
šerkat kardan	participate; take part; partake; chip in; contribute
šerkat kardan (kon)	participate; take part
šerkat-e bime	insurance company
šerkat-e hamlonaql	forwarder
šerkat-e havāpeymāyi	airline
šerkat-e kerāye-ye otomobil	car rental company
šerkat-e sahāmi	corporation; stock company; body corporate; joint stock; joint-stock company
šerkat-e taāvoni	cooperative
šerkat-e xadamāt-e interneti	internet provider
šerkathā-ye bozorg	corporate
šerkati	corporative; joint
šerkatkonande	participant; contributor; participating
šerkatpazir	associative
šerrover	nonsense
šerāfat	honor; gentility; honour
šerāfati	honor
šerāfatmand	upstanding
šerāfatmandāne	honorable; honourable
šerākat	partnership
šerākati	partnership
šetāb	acceleration; haste; hurry; speed; velocity; pelt
šetābande	accelerator
šetābdehande	accelerator
šetābidan	hurry; hie
šetābsanj	accelerometer
šetābzade	hasty; hurried; precipitant
šetābzadegi	precipitancy; precipitance; snap; hurry-scurry
šetābzadegi	haste; precipitancy; precipitance
šetābān	hastily; expedite
šetābgiri	acceleration
šetāftan	hasten
ševid	dill
šey'	object
šey' (ašyā)	object
šeydā	randy; horny; lovelorn
šeydā kardan	fascinate
šeydāyi	mania; fascination; infatuation
šeyhe	nicker; hinny
šeypur	trumpet; horn; clarion
šeypurci	bugler; trumpeter; trumpet
šeypuri	horny
šeytanat	mischief; archness; shenanigan; hoax
šeytanat kardan	mischief
šeytān	satan; devil; demon; naughty; mischievous
šeytān (šayātin)	devil; Satan
šeytāni	satanic; sinister; diabolical; devilment
šeytānparast	satanist
šeyx	sheikh; sheik; hierarch
šeyx (šoyux)	sheikh
šeyxnešin	sheikdom; sheikhdom; emirate
šey'	object; thing; res
šey'-e tajziešode	analysis
še'r	poem; poetry
šeš	six
šešdāng	soprano
šešguše	hexagon
šešlik	shashlik
šešlul	gun
šešom	sixth
šešomin	sixth; six
šešsad	six hundred
šešzel'i	hexagon
šegarf	wonderful; tremendous; wondrous; prodigious; excellent; fine
šegeft	surprise; wonder; amazement; admiration; wonderment
šegeftangiz	amazing; wonderful; phenomenal
šegefti	surprising; singular; astonishment; amazement
šegeftzade	wondered
šegeftzadegi	surprise
šegeftāvar	amazing; fabulous; wonderful
šegerd	ploy
ši'i	Shiite
šiayān	Shiites; pl of šie
šib	tilt; slope; gradient; dip; inclination; incline
šib peydā kardan	slant; decline
šibdār	inclined; slope; gradient; declivitous; shelvy; steep
šie	Shia
šie (šiayān)	Shia
šift	shift
šift-e šab	night shift
šifte	gaga; fond; preoccupied; amorous
šiftegi	infatuation; preoccupation; captivation;  preoccupation;  captivation
šii	Shiite
šik	stylish; fashionable; chic; finicky; smart; dapper; swell; elegant
šik kardan	dress up; dress chic
šik-o mod	posh; fashionable; elegant
šiki	daintiness
šikpuš	dressed fashionably.; dandy; gigolo; ritzy; elegant; well-dressed
šikpuši	dressed fashionably.; dandyism
šilang	hose
šiling	shilling
šiliyāyi	chilean
šilāt	fishery; piscary
šimi	chemistry
šimidarmāni	chemotherapy
šimidān	chemist
šimiyāyi	chemical; chemic
šir	lion; milk; tap; valve; faucet; plug
šir dušidan	milk
šir dādan	foster; lactate; breastfeed
šir-e carxkarde	buttermilk
šir-e mādar	breast milk
šir-e āb	tap; faucet; spigot; spout; stopcock
širbandi	dairy
širberenj	brim; rice pudding
širdeh	lactating; milch; lactescent
širdehi	breastfeeding
širdel	lionheart; lion-hearted
širduši	milking; suck
širdān	Creamer
širdār	milky
šire	juice; sap; syrup; molasses; extract; ooze
širexošk	milk powder; dry milk
širforuš	milk man; dairyman; milkman
širi	milky; leonine; lacteal
širin	sweet; fresh; sugary
širin kardan	sweet
širin-o matlub	bland
širinbayān	licorice; liquorice
širini	cookie; pastry; sugar; confection; confetti; marzipan
širini (širinijāt)	sweets
širini-ye morabbā	tuck
širini-ye tar	pie
širini-ye xošk	cookie; cooky
širiniforuš	confectioner
širiniforuši	confectionery; confectionary
širinijāt	sweets; sweetmeat; pl of širini
širinipazi	pastry
širinixori	pastry bowl
širinkonande	sweetener
širirang	creamy; milky; opalescent
širje	dive; plunge; somersault; somerset; diving
širje raftan	dive; plunge; jackknife
širkākāu	chocolate milk; cocoa
širmowz	banana milk
široxoršid	lion and sun
širqahve	milk coffee; latte
širvāni	roof; gable roof; tin roof
širxešt	cotoneaster
širxor	infants
širxāre	infant; suckling
širxāregi	infancy
širxārgāh	nursery
širzan	brave woman; heroine; virago
širāze	headband; binding
šivan	cries; lamentation
šivan kardan	wail; weep
šive	style; technique; method;  style;  method;  pace;  habitude;  device
šivenāme	method of letter
šivid	dill
šivā	eloquent
šivāyi	eloquence
šiyāf	suppository
šiyār	groove; furrow; flute; track; corrugation; list
šiyār kardan	plow; list; plough
šiyārdār	groove; strigose; striate
šiyārdār kardan	rut; channel; fuller; furrow; groove; rib; ridge
šiše	glass; bottle
šiše-ye aqab-e otomobil	rear window
šiše-ye eynak	eyeglass
šiše-ye jelow	windshield
šiše-ye jelow-e otomobil	windshield
šiše-ye panjere	window glass
šiše-ye šir	milk bottle
šišebor	glazier
šišebori	glass cutting
šišei	glass; glassy; vitreous
šišekāri	glass work
šišepākkon	glass cleaner
šišegar	glass blower; glazier; glassblower
šišegari	glassblowing
šo'bade	juggle; legerdemain
šo'badebāz	magician; juggler; thimblerigger
šo'badebāzi	magic trick; trick; jugglery
šo'badebāzi kardan	conjure; perform magic
šo'be	branch; chapter; substation; department; arm; offshoot
šo'be (šoab)	branch
šo'le	flame; flare; ingle
šo'levar	alight; flaring; garish
šoab	branches; pl of šo'be
šoabāt	industry
šoarā	poets
šobhe	doubt; misgiving; suspecting
šodan	become; go; grow; be; happen; leave
šodan (šav, šow)	become
šodan (šow, šav)	become
šodani	doable; feasible; possible
šogun	presage; omen
šohadā	martyrs; pl of šahid
šohrat	fame; reputation; celebrity; popularity; renown; stand; surname
šohrat dāštan	having fame; being famous
šohrat-e xod rā be xatar andāxtan	stake
šohud	intuition; pl of šāhed
šohudi	intuitive
šojā'	brave; courageous; valiant; valiantly; courage
šojāat	courage; bravery; valor; heroism; gallantry; pluck
šojāāne	courageous; brave
šok	doubt; skepticism; uncertainty; dubiety; self-doubt; shock
šok dāštan	doubt; suspect
šokke	thunderstruck
šokolāt	chocolate
šokolāti	chocolate
šokr	thanksgiving
šokr kardan	thank
šokrāne	thanks
šokufande	unfolding
šokufe	blossom; bloom; flower
šokufe dādan (deh)	flower
šokufe kardan	bloom
šokufā	flourish; flourishing; prosperous
šokufāi	prosperity
šokufāyi	boom; height
šokuh	glory; grandeur; gloss; splendor
šokuhmand	superb
šokuhmandi	glory
šol	loose; flabby
šol kardan	relax
šolovel	loose; limp
šoluq	busy; noisy; messy; noise; tumult; crowded; loud
šoluq kardan	make noise
šoluqi	bustle; crowd; chaos; rush
šomul	inclusion; coverage; liability
šomā	you; your
šomāhā	you; your
šomāl	north
šomāl-e qarb	northwest
šomāl-e qarbi	northwest
šomāl-e šarq	northeast
šomāl-e šarqi	northeast
šomāli	north; northern; northerly; Nordic; boreal; Arctic
šomār	count; unit; number
šomārande	counter; computer; numerator
šomārdan	counting
šomārde	enriched
šomāre	no; number; issue; no.
šomāre gereftan	dial
šomāre-ye hesāb-e jāri	current account number
šomāre-ye kafš	shoe size
šomāre-ye manzel	house number
šomāre-ye māšin	car number plates
šomāre-ye otomobil	car number; license plate
šomāre-ye telefon	phone number
šomāregir	dialer
šomāregozāri	numbering
šomāregozāri kardan	number
šomārehesāb	account number
šomārei	numeral; numerical
šomāretelefon	phone number
šomāreš	tally; enumeration; numeration; counting
šomāreši	numerical
šomārešgar	tally; numerator
šomāregir	dialer
