a'dād	numbers; pl of adad
ayyāš	jovial
ayyāši	orgy;  revelry;  binge;  debauchery;  carousal;  carouse
ayyāši kardan	carouse; feast; live in pleasure; revel; riot; wassail
ayābozahāb	transportation
ayādat	visit; visiting; visitation
ayādat kardan	pay a visit; visit
ayādat-e bimār	hospital visit
ayāl	wife
ayār gereftan	assay; titrate; prove; test
az	of; from; since
az an rāh	thereby
az aqab	from the rear
az arz	across
az asar andāxtan	deactivate; break down
az avval tā āxar	thorough; from first to last
az badi-ye ciz-i kāstan	qualify
az bar	by heart; from memory
az baske	so much
az beyn bordan	relieve; destroy; eradicate; spoil; put down; swoop; annihilate
az beyn raftan	waste; loss
az cub	of wood
az dast dādan	lose; miss; tine; unhand
az dast nadādan	retain
az digari gereftan	inherit
az donyā raftan	die
az dur	from afar; from a distance
az emruz	from today
az gerow dar āvardan	redeem
az gerow darāvardan	redeem
az gorosnegi mordan	starve
az ham bāz kardan	hackle; unlink; break; unravel; untwine
az ham jodā kardan	disarticulate; scatter; split; wedge; separate; disconnect
az ham jodā šodan	break away
az ham pāšidan	disintegrate; burst; dissipate; decompose
az ham tašxis dādan	distinguish
az harekat bāz dāštan	trig; chock; stall
az havā gereftan	catch
az hefz	by heart; from memory
az huš raftan	faint
az hāl raftan	faint
az in jahat	hence; therefore
az in jahat ke	because
az in ru	hence; therefore
az insu be ānsu	across; athwart
az jens-e cub	made from wood
az jomle	among
az jā jastan	bolt
az kojā	whence; where from
az kār andāxtan	disable
az kār dar āvardan	work out
az kār oftādan	hogtie; conk; incapacitate; stop
az lahāz-e fanni	technically
az lahāz-e jesmi	physically
az lahāz-e kammi	quantitatively
az lahāz-e keyfi	in terms of quality; qualitatively
az lahāz-e māli	in terms of financial
az lahāz-e zamāni	in terms of timing
az miyān	through; across;  thru;  per
az miyān bordan	abolish; wipe; abrogate; shunt; remove
az miyān-e	through; thru
az moddat-i piš	some time ago
az mowqe-i ke	since
az Munix	from Munich
az nafas andāxtan	wind
az nafas oftādan	poop; use up; wind
az nazar pušāndan	bury
az nazar-e eqtesādi	economically
az now	again; anew; afresh
az ohde bar āmadan	cope; tackle; acquit; afford; answer
az ohde barāmadan	cope with; afford
az piš	prior
az piš bordan	enforce; manage
az piš ferestādešode	advance
az piš hefz kardan	reserve
az pošt	backwards
